Batter,Opponent,runs,balls_faced,innings,strike_rate
A Uniyal,Delhi Daredevils,4,6,1,66.67
A Uniyal,Mumbai Indians,0,1,1,0.0
A Zampa,Chennai Super Kings,1,1,1,100.0
A Zampa,Delhi Daredevils,5,7,1,71.43
A Zampa,Gujarat Titans,7,9,1,77.78
A Zampa,Royal Challengers Bengaluru,2,6,1,33.33
A Zampa,Sunrisers Hyderabad,0,1,1,0.0
AA Bilakhia,Chennai Super Kings,12,14,1,85.71
AA Bilakhia,Delhi Daredevils,32,46,2,69.57
AA Bilakhia,Rajasthan Royals,3,9,2,33.33
AA Bilakhia,Royal Challengers Bengaluru,22,15,2,146.67
AA Chavan,Delhi Daredevils,7,6,1,116.67
AA Chavan,Kochi Tuskers Kerala,1,3,1,33.33
AA Chavan,Mumbai Indians,4,2,1,200.0
AA Jhunjhunwala,Chennai Super Kings,19,11,3,172.73
AA Jhunjhunwala,Deccan Chargers,11,8,1,137.5
AA Jhunjhunwala,Delhi Daredevils,59,55,3,107.27
AA Jhunjhunwala,Kings XI Punjab,19,22,2,86.36
AA Jhunjhunwala,Kolkata Knight Riders,45,36,1,125.0
AA Jhunjhunwala,Mumbai Indians,46,48,3,95.83
AA Jhunjhunwala,Royal Challengers Bengaluru,18,29,2,62.07
AA Kulkarni,Kolkata Knight Riders,9,7,1,128.57
AA Kulkarni,Mumbai Indians,0,1,1,0.0
AA Kulkarni,Punjab Kings,0,1,1,0.0
AA Kulkarni,Royal Challengers Bengaluru,17,24,1,70.83
AA Noffke,Kolkata Knight Riders,9,10,1,90.0
AB Agarkar,Chennai Super Kings,23,20,3,115.0
AB Agarkar,Deccan Chargers,15,8,2,187.5
AB Agarkar,Delhi Daredevils,55,41,2,134.15
AB Agarkar,Kings XI Punjab,10,11,2,90.91
AB Agarkar,Mumbai Indians,23,25,3,92.0
AB Agarkar,Rajasthan Royals,39,33,4,118.18
AB Agarkar,Royal Challengers Bengaluru,12,13,2,92.31
AB Barath,Deccan Chargers,7,10,1,70.0
AB Barath,Delhi Daredevils,2,5,1,40.0
AB Barath,Mumbai Indians,33,27,1,122.22
AB Dinda,Chennai Super Kings,2,2,1,100.0
AB Dinda,Deccan Chargers,2,2,1,100.0
AB Dinda,Delhi Daredevils,7,7,1,100.0
AB Dinda,Kings XI Punjab,4,10,2,40.0
AB Dinda,Mumbai Indians,3,11,4,27.27
AB Dinda,Rajasthan Royals,1,6,2,16.67
AB Dinda,Royal Challengers Bengaluru,7,7,3,100.0
AB Dinda,Sunrisers Hyderabad,0,3,2,0.0
AB McDonald,Chennai Super Kings,8,7,1,114.29
AB McDonald,Delhi Daredevils,30,21,2,142.86
AB McDonald,Kings XI Punjab,17,16,2,106.25
AB McDonald,Mumbai Indians,33,31,1,106.45
AB McDonald,Rajasthan Royals,14,9,1,155.56
AB McDonald,Royal Challengers Bengaluru,21,16,2,131.25
AB de Villiers,Chennai Super Kings,530,353,25,150.14
AB de Villiers,Deccan Chargers,153,127,7,120.47
AB de Villiers,Delhi Capitals,179,130,6,137.69
AB de Villiers,Delhi Daredevils,409,231,9,177.06
AB de Villiers,Gujarat Lions,229,125,4,183.2
AB de Villiers,Kings XI Punjab,704,445,21,158.2
AB de Villiers,Kochi Tuskers Kerala,54,40,1,135.0
AB de Villiers,Kolkata Knight Riders,517,335,21,154.33
AB de Villiers,Mumbai Indians,784,532,24,147.37
AB de Villiers,Pune Warriors,149,69,5,215.94
AB de Villiers,Punjab Kings,26,27,2,96.3
AB de Villiers,Rajasthan Royals,644,440,20,146.36
AB de Villiers,Rising Pune Supergiants,116,87,4,133.33
AB de Villiers,Royal Challengers Bengaluru,115,112,4,102.68
AB de Villiers,Sunrisers Hyderabad,539,347,17,155.33
AC Blizzard,Deccan Chargers,1,7,1,14.29
AC Blizzard,Delhi Daredevils,37,26,2,142.31
AC Blizzard,Kings XI Punjab,15,10,1,150.0
AC Blizzard,Kolkata Knight Riders,51,30,1,170.0
AC Blizzard,Pune Warriors,6,6,1,100.0
AC Blizzard,Royal Challengers Bengaluru,10,11,1,90.91
AC Gilchrist,Chennai Super Kings,250,174,10,143.68
AC Gilchrist,Deccan Chargers,112,83,2,134.94
AC Gilchrist,Delhi Daredevils,313,194,12,161.34
AC Gilchrist,Kings XI Punjab,140,93,6,150.54
AC Gilchrist,Kochi Tuskers Kerala,9,15,1,60.0
AC Gilchrist,Kolkata Knight Riders,271,225,11,120.44
AC Gilchrist,Mumbai Indians,234,165,9,141.82
AC Gilchrist,Pune Warriors,50,52,6,96.15
AC Gilchrist,Rajasthan Royals,251,189,10,132.8
AC Gilchrist,Royal Challengers Bengaluru,364,246,11,147.97
AC Gilchrist,Sunrisers Hyderabad,52,47,2,110.64
AC Thomas,Chennai Super Kings,1,2,1,50.0
AC Thomas,Deccan Chargers,12,9,1,133.33
AC Thomas,Mumbai Indians,0,2,1,0.0
AC Thomas,Royal Challengers Bengaluru,7,6,1,116.67
AC Voges,Chennai Super Kings,20,19,1,105.26
AC Voges,Delhi Daredevils,15,17,1,88.24
AC Voges,Kings XI Punjab,45,24,1,187.5
AC Voges,Kolkata Knight Riders,45,29,2,155.17
AC Voges,Mumbai Indians,28,27,1,103.7
AC Voges,Royal Challengers Bengaluru,28,27,1,103.7
AD Hales,Chennai Super Kings,2,9,1,22.22
AD Hales,Delhi Daredevils,58,40,2,145.0
AD Hales,Rajasthan Royals,45,39,1,115.38
AD Hales,Royal Challengers Bengaluru,42,29,2,144.83
AD Mascarenhas,Chennai Super Kings,8,8,1,100.0
AD Mascarenhas,Delhi Daredevils,12,11,2,109.09
AD Mascarenhas,Kings XI Punjab,4,2,1,200.0
AD Mascarenhas,Kolkata Knight Riders,36,39,3,92.31
AD Mascarenhas,Mumbai Indians,9,7,1,128.57
AD Mascarenhas,Pune Warriors,5,5,1,100.0
AD Mascarenhas,Royal Challengers Bengaluru,0,1,1,0.0
AD Mascarenhas,Sunrisers Hyderabad,5,5,1,100.0
AD Mathews,Chennai Super Kings,81,83,3,97.59
AD Mathews,Deccan Chargers,68,49,2,138.78
AD Mathews,Delhi Daredevils,106,70,4,151.43
AD Mathews,Kings XI Punjab,56,38,5,147.37
AD Mathews,Kolkata Knight Riders,126,95,5,132.63
AD Mathews,Mumbai Indians,51,41,5,124.39
AD Mathews,Rajasthan Royals,96,78,6,123.08
AD Mathews,Royal Challengers Bengaluru,64,55,7,116.36
AD Mathews,Sunrisers Hyderabad,74,64,4,115.62
AD Nath,Chennai Super Kings,24,20,1,120.0
AD Nath,Delhi Capitals,19,12,1,158.33
AD Nath,Kings XI Punjab,3,8,2,37.5
AD Nath,Kolkata Knight Riders,13,15,1,86.67
AD Nath,Mumbai Indians,14,14,2,100.0
AD Nath,Rajasthan Royals,9,13,1,69.23
AD Nath,Royal Challengers Bengaluru,3,6,1,50.0
AD Nath,Sunrisers Hyderabad,5,10,1,50.0
AD Russell,Chennai Super Kings,355,214,14,165.89
AD Russell,Delhi Capitals,288,168,9,171.43
AD Russell,Delhi Daredevils,107,59,4,181.36
AD Russell,Gujarat Titans,104,60,4,173.33
AD Russell,Kings XI Punjab,251,121,8,207.44
AD Russell,Kolkata Knight Riders,4,8,1,50.0
AD Russell,Lucknow Super Giants,76,51,5,149.02
AD Russell,Mumbai Indians,260,174,16,149.43
AD Russell,Punjab Kings,192,102,6,188.24
AD Russell,Rajasthan Royals,256,149,13,171.81
AD Russell,Rising Pune Supergiants,17,11,1,154.55
AD Russell,Royal Challengers Bengaluru,421,214,16,196.73
AD Russell,Sunrisers Hyderabad,301,178,17,169.1
AF Milne,Chennai Super Kings,15,15,1,100.0
AF Milne,Delhi Capitals,2,2,1,100.0
AF Milne,Kolkata Knight Riders,1,1,1,100.0
AF Milne,Mumbai Indians,0,1,1,0.0
AF Milne,Rising Pune Supergiants,7,11,2,63.64
AF Milne,Royal Challengers Bengaluru,0,1,1,0.0
AG Murtaza,Kolkata Knight Riders,3,5,1,60.0
AG Murtaza,Rajasthan Royals,2,5,1,40.0
AG Murtaza,Royal Challengers Bengaluru,5,4,1,125.0
AG Paunikar,Deccan Chargers,20,18,1,111.11
AG Paunikar,Delhi Daredevils,4,7,1,57.14
AG Paunikar,Kolkata Knight Riders,24,29,2,82.76
AG Paunikar,Royal Challengers Bengaluru,0,1,1,0.0
AJ Finch,Chennai Super Kings,153,128,8,119.53
AJ Finch,Deccan Chargers,0,3,2,0.0
AJ Finch,Delhi Capitals,16,21,2,76.19
AJ Finch,Delhi Daredevils,284,194,8,146.39
AJ Finch,Kings XI Punjab,242,197,10,122.84
AJ Finch,Kolkata Knight Riders,315,231,13,136.36
AJ Finch,Lucknow Super Giants,14,14,1,100.0
AJ Finch,Mumbai Indians,268,233,10,115.02
AJ Finch,Pune Warriors,25,12,1,208.33
AJ Finch,Rajasthan Royals,225,181,10,124.31
AJ Finch,Rising Pune Supergiants,96,61,3,157.38
AJ Finch,Royal Challengers Bengaluru,239,182,11,131.32
AJ Finch,Sunrisers Hyderabad,206,169,11,121.89
AJ Hosein,Delhi Capitals,16,10,1,160.0
AJ Hosein,Mumbai Indians,2,2,1,100.0
AJ Hosein,Sunrisers Hyderabad,3,1,1,300.0
AJ Turner,Delhi Capitals,0,1,1,0.0
AJ Turner,Kings XI Punjab,0,1,1,0.0
AJ Turner,Kolkata Knight Riders,16,9,1,177.78
AJ Turner,Mumbai Indians,5,10,2,50.0
AJ Turner,Sunrisers Hyderabad,3,7,1,42.86
AJ Tye,Chennai Super Kings,3,6,2,50.0
AJ Tye,Delhi Capitals,6,6,1,100.0
AJ Tye,Delhi Daredevils,3,9,1,33.33
AJ Tye,Kings XI Punjab,22,12,1,183.33
AJ Tye,Kolkata Knight Riders,14,12,2,116.67
AJ Tye,Mumbai Indians,25,11,1,227.27
