Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
AD Mascarenhas,2008,Middle,9,8,0,1,112.5,12.5
AD Mascarenhas,2009,Death,11,8,1,0,137.5,12.5
AD Mascarenhas,2009,Middle,24,29,2,0,82.76,6.9
AD Mascarenhas,2009,Powerplay,4,2,1,0,200.0,50.0
AD Mascarenhas,2010,Death,12,10,0,0,120.0,0.0
AD Mascarenhas,2012,Death,4,6,0,0,66.67,0.0
AD Mascarenhas,2012,Middle,10,10,1,0,100.0,10.0
AD Mascarenhas,2013,Death,5,5,0,0,100.0,0.0
AD Mathews,2009,Death,5,3,1,0,166.67,33.33
AD Mathews,2009,Middle,11,10,1,0,110.0,10.0
AD Mathews,2010,Death,114,65,9,5,175.38,21.54
AD Mathews,2010,Middle,109,105,9,2,103.81,10.48
AD Mathews,2010,Powerplay,9,13,0,1,69.23,7.69
AD Mathews,2012,Death,39,34,1,1,114.71,5.88
AD Mathews,2012,Middle,88,72,4,3,122.22,9.72
AD Mathews,2012,Powerplay,0,2,0,0,0.0,0.0
AD Mathews,2013,Death,38,33,2,1,115.15,9.09
AD Mathews,2013,Middle,133,104,3,9,127.88,11.54
AD Mathews,2013,Powerplay,1,2,0,0,50.0,0.0
AD Mathews,2015,Death,103,58,9,5,177.59,24.14
AD Mathews,2015,Middle,40,45,3,1,88.89,8.89
AD Mathews,2017,Death,21,16,1,1,131.25,12.5
AD Mathews,2017,Middle,11,11,1,0,100.0,9.09
AD Nath,2016,Death,5,11,0,0,45.45,0.0
AD Nath,2016,Middle,15,16,1,0,93.75,6.25
AD Nath,2017,Middle,0,1,0,0,0.0,0.0
AD Nath,2018,Middle,8,10,1,0,80.0,10.0
AD Nath,2018,Powerplay,1,3,0,0,33.33,0.0
AD Nath,2019,Death,11,7,2,0,157.14,28.57
AD Nath,2019,Middle,40,42,3,1,95.24,9.52
AD Nath,2019,Powerplay,10,8,0,1,125.0,12.5
AD Russell,2012,Death,24,13,1,2,184.62,23.08
AD Russell,2012,Middle,23,13,2,1,176.92,23.08
AD Russell,2013,Death,11,11,0,0,100.0,0.0
AD Russell,2013,Middle,0,3,0,0,0.0,0.0
AD Russell,2014,Middle,2,8,0,0,25.0,0.0
AD Russell,2015,Death,73,41,8,4,178.05,29.27
